check_id,product_id,check_name,impacted_metric,source_system,quality_dimension,failed_row_rate,severity,owner,status
DQ0077,PRD023,Claims lag validation,loss_ratio,claims,Timeliness,10.5,Medium,Product Analytics,Remediation Planned
DQ0078,PRD023,Policy count reconciliation,exposure_count,policy_admin,Completeness,11.3,Medium,Product Analytics,Open
DQ0079,PRD023,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,13.7,High,Product Analytics,Open
DQ0080,PRD023,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,10.9,Medium,Product Analytics,Remediation Planned
DQ0081,PRD024,Claims lag validation,loss_ratio,claims,Timeliness,10.6,Medium,BI Governance,Open
DQ0082,PRD024,Premium transaction duplicate scan,earned_premium,billing,Accuracy,9.9,Medium,BI Governance,Monitoring
DQ0083,PRD024,Agency appointment mapping,channel,agency_feed,Accuracy,12.8,High,BI Governance,In Review
DQ0084,PRD024,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,9.9,Medium,BI Governance,Remediation Planned
DQ0085,PRD025,Policy count reconciliation,exposure_count,policy_admin,Completeness,6.7,Medium,Commercial Lines Ops,Open
DQ0086,PRD025,Premium transaction duplicate scan,earned_premium,billing,Accuracy,0.6,Low,Commercial Lines Ops,Monitoring
DQ0087,PRD025,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,3.8,Low,Commercial Lines Ops,Open
DQ0088,PRD026,Policy count reconciliation,exposure_count,policy_admin,Completeness,4.4,Low,BI Governance,Open
DQ0089,PRD026,Agency appointment mapping,channel,agency_feed,Accuracy,4.7,Low,BI Governance,Monitoring
DQ0090,PRD026,Claims lag validation,loss_ratio,claims,Timeliness,9.9,Medium,BI Governance,Open
DQ0091,PRD027,Agency appointment mapping,channel,agency_feed,Accuracy,6.7,Medium,BI Governance,Remediation Planned
DQ0092,PRD027,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,9.3,Medium,BI Governance,Monitoring
DQ0093,PRD027,Claims lag validation,loss_ratio,claims,Timeliness,9.0,Medium,BI Governance,Open
DQ0094,PRD028,Claims lag validation,loss_ratio,claims,Timeliness,4.8,Low,Commercial Lines Ops,Open
DQ0095,PRD028,Agency appointment mapping,channel,agency_feed,Accuracy,4.1,Low,Commercial Lines Ops,In Review
DQ0096,PRD028,Policy count reconciliation,exposure_count,policy_admin,Completeness,3.9,Low,Commercial Lines Ops,Open
DQ0097,PRD029,Policy count reconciliation,exposure_count,policy_admin,Completeness,4.0,Low,Claims Data,Monitoring
DQ0098,PRD029,Premium transaction duplicate scan,earned_premium,billing,Accuracy,0.2,Low,Claims Data,Open
DQ0099,PRD029,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,3.6,Low,Claims Data,Remediation Planned
DQ0100,PRD030,Claims lag validation,loss_ratio,claims,Timeliness,6.9,Medium,BI Governance,Open
DQ0101,PRD030,Premium transaction duplicate scan,earned_premium,billing,Accuracy,7.7,Medium,BI Governance,In Review
DQ0102,PRD030,Policy count reconciliation,exposure_count,policy_admin,Completeness,11.6,Medium,BI Governance,Open
DQ0103,PRD031,Policy count reconciliation,exposure_count,policy_admin,Completeness,5.0,Low,Commercial Lines Ops,Open
DQ0104,PRD031,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,5.6,Low,Commercial Lines Ops,Open
DQ0105,PRD031,Claims lag validation,loss_ratio,claims,Timeliness,7.1,Medium,Commercial Lines Ops,In Review
DQ0106,PRD032,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,13.0,High,Product Analytics,In Review
DQ0107,PRD032,Premium transaction duplicate scan,earned_premium,billing,Accuracy,12.0,Medium,Product Analytics,Remediation Planned
DQ0108,PRD032,Claims lag validation,loss_ratio,claims,Timeliness,12.3,High,Product Analytics,In Review
DQ0109,PRD033,Agency appointment mapping,channel,agency_feed,Accuracy,9.1,Medium,BI Governance,Remediation Planned
DQ0110,PRD033,Policy count reconciliation,exposure_count,policy_admin,Completeness,11.4,Medium,BI Governance,Open
DQ0111,PRD033,Claims lag validation,loss_ratio,claims,Timeliness,11.0,Medium,BI Governance,Open
DQ0112,PRD034,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,13.3,High,BI Governance,In Review
DQ0113,PRD034,Agency appointment mapping,channel,agency_feed,Accuracy,12.1,High,BI Governance,Open
DQ0114,PRD034,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,11.6,Medium,BI Governance,Remediation Planned
DQ0115,PRD035,Premium transaction duplicate scan,earned_premium,billing,Accuracy,11.2,Medium,BI Governance,In Review
DQ0116,PRD035,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,7.2,Medium,BI Governance,Monitoring
DQ0117,PRD035,Agency appointment mapping,channel,agency_feed,Accuracy,10.4,Medium,BI Governance,Remediation Planned
DQ0118,PRD036,Claims lag validation,loss_ratio,claims,Timeliness,13.8,High,BI Governance,Remediation Planned
DQ0119,PRD036,Premium transaction duplicate scan,earned_premium,billing,Accuracy,16.6,High,BI Governance,In Review
DQ0120,PRD036,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,15.9,High,BI Governance,Open
DQ0121,PRD037,Policy count reconciliation,exposure_count,policy_admin,Completeness,3.1,Low,BI Governance,Remediation Planned
DQ0122,PRD037,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,0.7,Low,BI Governance,Monitoring
DQ0123,PRD037,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,1.5,Low,BI Governance,Remediation Planned
DQ0124,PRD038,Premium transaction duplicate scan,earned_premium,billing,Accuracy,8.4,Medium,Commercial Lines Ops,Open
DQ0125,PRD038,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,7.7,Medium,Commercial Lines Ops,Open
DQ0126,PRD038,Agency appointment mapping,channel,agency_feed,Accuracy,8.6,Medium,Commercial Lines Ops,Open
DQ0127,PRD039,Premium transaction duplicate scan,earned_premium,billing,Accuracy,1.5,Low,Commercial Lines Ops,Monitoring
DQ0128,PRD039,Claims lag validation,loss_ratio,claims,Timeliness,5.9,Low,Commercial Lines Ops,In Review
DQ0129,PRD039,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,3.0,Low,Commercial Lines Ops,Monitoring
DQ0130,PRD040,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,8.9,Medium,Commercial Lines Ops,Remediation Planned
DQ0131,PRD040,Agency appointment mapping,channel,agency_feed,Accuracy,7.7,Medium,Commercial Lines Ops,Monitoring
DQ0132,PRD040,Claims lag validation,loss_ratio,claims,Timeliness,4.4,Low,Commercial Lines Ops,Remediation Planned
DQ0133,PRD041,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,4.0,Low,Commercial Lines Ops,Open
DQ0134,PRD041,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,3.6,Low,Commercial Lines Ops,In Review
DQ0135,PRD041,Policy count reconciliation,exposure_count,policy_admin,Completeness,9.0,Medium,Commercial Lines Ops,Remediation Planned
DQ0136,PRD042,Claims lag validation,loss_ratio,claims,Timeliness,9.2,Medium,Commercial Lines Ops,Open
DQ0137,PRD042,Premium transaction duplicate scan,earned_premium,billing,Accuracy,6.3,Medium,Commercial Lines Ops,Monitoring
DQ0138,PRD042,Agency appointment mapping,channel,agency_feed,Accuracy,7.7,Medium,Commercial Lines Ops,In Review
DQ0139,PRD043,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,10.8,Medium,Product Analytics,Monitoring
DQ0140,PRD043,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,14.0,High,Product Analytics,Open
DQ0141,PRD043,Claims lag validation,loss_ratio,claims,Timeliness,8.4,Medium,Product Analytics,In Review
DQ0142,PRD044,Premium transaction duplicate scan,earned_premium,billing,Accuracy,12.4,High,Product Analytics,Open
DQ0143,PRD044,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,10.7,Medium,Product Analytics,Open
DQ0144,PRD044,Claims lag validation,loss_ratio,claims,Timeliness,10.5,Medium,Product Analytics,Open
DQ0145,PRD045,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,15.8,High,Product Analytics,Remediation Planned
DQ0146,PRD045,Claims lag validation,loss_ratio,claims,Timeliness,12.8,High,Product Analytics,Open
DQ0147,PRD045,Agency appointment mapping,channel,agency_feed,Accuracy,13.5,High,Product Analytics,Monitoring
DQ0148,PRD046,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,10.9,Medium,Claims Data,Open
DQ0149,PRD046,Policy count reconciliation,exposure_count,policy_admin,Completeness,15.6,High,Claims Data,In Review
DQ0150,PRD046,Premium transaction duplicate scan,earned_premium,billing,Accuracy,14.1,High,Claims Data,In Review
DQ0151,PRD047,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,7.4,Medium,Product Analytics,Monitoring
DQ0152,PRD047,Premium transaction duplicate scan,earned_premium,billing,Accuracy,8.8,Medium,Product Analytics,Open
DQ0153,PRD047,Policy count reconciliation,exposure_count,policy_admin,Completeness,7.6,Medium,Product Analytics,Monitoring
DQ0154,PRD048,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,14.6,High,BI Governance,In Review
DQ0155,PRD048,Premium transaction duplicate scan,earned_premium,billing,Accuracy,14.2,High,BI Governance,Monitoring
DQ0156,PRD048,Policy count reconciliation,exposure_count,policy_admin,Completeness,15.0,High,BI Governance,In Review
DQ0157,PRD049,Agency appointment mapping,channel,agency_feed,Accuracy,3.3,Low,Claims Data,Monitoring
DQ0158,PRD049,Claims lag validation,loss_ratio,claims,Timeliness,4.0,Low,Claims Data,Open
DQ0159,PRD049,Premium transaction duplicate scan,earned_premium,billing,Accuracy,5.0,Low,Claims Data,Open
DQ0160,PRD050,Agency appointment mapping,channel,agency_feed,Accuracy,8.4,Medium,Claims Data,Remediation Planned
DQ0161,PRD050,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,9.4,Medium,Claims Data,Remediation Planned
DQ0162,PRD050,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,10.2,Medium,Claims Data,In Review
DQ0163,PRD050,Agency appointment mapping,channel,agency_feed,Accuracy,8.1,Medium,Claims Data,Monitoring
DQ0164,PRD051,Policy count reconciliation,exposure_count,policy_admin,Completeness,9.0,Medium,Claims Data,Monitoring
DQ0165,PRD051,Premium transaction duplicate scan,earned_premium,billing,Accuracy,6.0,Low,Claims Data,In Review
DQ0166,PRD051,Claims lag validation,loss_ratio,claims,Timeliness,9.2,Medium,Claims Data,Monitoring
DQ0167,PRD052,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,9.2,Medium,Product Analytics,Remediation Planned
DQ0168,PRD052,Premium transaction duplicate scan,earned_premium,billing,Accuracy,13.9,High,Product Analytics,In Review
DQ0169,PRD052,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,9.8,Medium,Product Analytics,Remediation Planned
DQ0170,PRD052,Agency appointment mapping,channel,agency_feed,Accuracy,10.3,Medium,Product Analytics,Remediation Planned
DQ0171,PRD053,Policy count reconciliation,exposure_count,policy_admin,Completeness,4.6,Low,Claims Data,Monitoring
DQ0172,PRD053,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,4.0,Low,Claims Data,Open
DQ0173,PRD053,Claims lag validation,loss_ratio,claims,Timeliness,8.1,Medium,Claims Data,Monitoring
DQ0174,PRD054,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,9.2,Medium,Product Analytics,Monitoring
DQ0175,PRD054,Agency appointment mapping,channel,agency_feed,Accuracy,3.7,Low,Product Analytics,Open
DQ0176,PRD054,Premium transaction duplicate scan,earned_premium,billing,Accuracy,8.5,Medium,Product Analytics,In Review
DQ0177,PRD054,Agency appointment mapping,channel,agency_feed,Accuracy,10.6,Medium,Product Analytics,Monitoring
DQ0178,PRD055,Premium transaction duplicate scan,earned_premium,billing,Accuracy,8.3,Medium,Product Analytics,Monitoring
DQ0179,PRD055,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,8.5,Medium,Product Analytics,In Review
DQ0180,PRD055,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,8.8,Medium,Product Analytics,Open
DQ0181,PRD056,Policy count reconciliation,exposure_count,policy_admin,Completeness,7.6,Medium,Commercial Lines Ops,Monitoring
DQ0182,PRD056,Agency appointment mapping,channel,agency_feed,Accuracy,5.5,Low,Commercial Lines Ops,Open
DQ0183,PRD056,Claims lag validation,loss_ratio,claims,Timeliness,7.8,Medium,Commercial Lines Ops,In Review
DQ0184,PRD056,Agency appointment mapping,channel,agency_feed,Accuracy,9.6,Medium,Commercial Lines Ops,Open
DQ0185,PRD057,Policy count reconciliation,exposure_count,policy_admin,Completeness,8.8,Medium,Commercial Lines Ops,Monitoring
DQ0186,PRD057,Premium transaction duplicate scan,earned_premium,billing,Accuracy,10.5,Medium,Commercial Lines Ops,In Review
DQ0187,PRD057,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,7.8,Medium,Commercial Lines Ops,Open
DQ0188,PRD058,Agency appointment mapping,channel,agency_feed,Accuracy,6.4,Medium,BI Governance,In Review
DQ0189,PRD058,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,12.5,High,BI Governance,Open
DQ0190,PRD058,Premium transaction duplicate scan,earned_premium,billing,Accuracy,9.5,Medium,BI Governance,Open
DQ0191,PRD058,Agency appointment mapping,channel,agency_feed,Accuracy,13.1,High,BI Governance,Open
DQ0192,PRD059,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,10.3,Medium,Commercial Lines Ops,In Review
DQ0193,PRD059,Agency appointment mapping,channel,agency_feed,Accuracy,12.5,High,Commercial Lines Ops,Open
DQ0194,PRD059,Claims lag validation,loss_ratio,claims,Timeliness,11.9,Medium,Commercial Lines Ops,Remediation Planned
DQ0195,PRD060,Policy count reconciliation,exposure_count,policy_admin,Completeness,10.4,Medium,Product Analytics,Monitoring
DQ0196,PRD060,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,13.7,High,Product Analytics,Open
DQ0197,PRD060,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,13.1,High,Product Analytics,Open
DQ0198,PRD060,Agency appointment mapping,channel,agency_feed,Accuracy,9.6,Medium,Product Analytics,Open
DQ0199,PRD061,Claims lag validation,loss_ratio,claims,Timeliness,3.2,Low,Product Analytics,Open
DQ0200,PRD061,Agency appointment mapping,channel,agency_feed,Accuracy,0.9,Low,Product Analytics,In Review
DQ0201,PRD061,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,0.3,Low,Product Analytics,Remediation Planned
DQ0202,PRD062,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,9.6,Medium,Product Analytics,Open
DQ0203,PRD062,Agency appointment mapping,channel,agency_feed,Accuracy,10.4,Medium,Product Analytics,Remediation Planned
DQ0204,PRD062,Claims lag validation,loss_ratio,claims,Timeliness,6.6,Medium,Product Analytics,Open
DQ0205,PRD062,Agency appointment mapping,channel,agency_feed,Accuracy,8.4,Medium,Product Analytics,Open
DQ0206,PRD063,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,6.0,Low,Claims Data,In Review
DQ0207,PRD063,Premium transaction duplicate scan,earned_premium,billing,Accuracy,7.0,Medium,Claims Data,In Review
DQ0208,PRD063,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,5.0,Low,Claims Data,Remediation Planned
DQ0209,PRD064,Premium transaction duplicate scan,earned_premium,billing,Accuracy,6.9,Medium,Commercial Lines Ops,Open
DQ0210,PRD064,Agency appointment mapping,channel,agency_feed,Accuracy,5.7,Low,Commercial Lines Ops,Open
DQ0211,PRD064,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,8.9,Medium,Commercial Lines Ops,Monitoring
DQ0212,PRD064,Agency appointment mapping,channel,agency_feed,Accuracy,6.6,Medium,Commercial Lines Ops,Open
DQ0213,PRD065,Policy count reconciliation,exposure_count,policy_admin,Completeness,8.2,Medium,BI Governance,Open
DQ0214,PRD065,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,0.8,Low,BI Governance,Remediation Planned
DQ0215,PRD065,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,4.5,Low,BI Governance,Remediation Planned
DQ0216,PRD066,Claims lag validation,loss_ratio,claims,Timeliness,9.4,Medium,Claims Data,Open
DQ0217,PRD066,Policy count reconciliation,exposure_count,policy_admin,Completeness,9.3,Medium,Claims Data,Remediation Planned
DQ0218,PRD066,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,6.5,Medium,Claims Data,Monitoring
DQ0219,PRD066,Agency appointment mapping,channel,agency_feed,Accuracy,8.1,Medium,Claims Data,Open
DQ0220,PRD067,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,10.6,Medium,BI Governance,Monitoring
DQ0221,PRD067,Agency appointment mapping,channel,agency_feed,Accuracy,9.7,Medium,BI Governance,Open
DQ0222,PRD067,Claims lag validation,loss_ratio,claims,Timeliness,12.6,High,BI Governance,In Review
DQ0223,PRD068,Agency appointment mapping,channel,agency_feed,Accuracy,14.9,High,Commercial Lines Ops,Open
DQ0224,PRD068,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,10.8,Medium,Commercial Lines Ops,Monitoring
DQ0225,PRD068,Claims lag validation,loss_ratio,claims,Timeliness,12.4,High,Commercial Lines Ops,Open
DQ0226,PRD068,Agency appointment mapping,channel,agency_feed,Accuracy,14.1,High,Commercial Lines Ops,Open
DQ0227,PRD069,Policy count reconciliation,exposure_count,policy_admin,Completeness,5.1,Low,Claims Data,Monitoring
DQ0228,PRD069,Agency appointment mapping,channel,agency_feed,Accuracy,9.1,Medium,Claims Data,In Review
DQ0229,PRD069,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,8.5,Medium,Claims Data,Monitoring
DQ0230,PRD070,Claims lag validation,loss_ratio,claims,Timeliness,7.8,Medium,Product Analytics,Remediation Planned
DQ0231,PRD070,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,13.0,High,Product Analytics,Monitoring
DQ0232,PRD070,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,13.5,High,Product Analytics,Open
DQ0233,PRD070,Agency appointment mapping,channel,agency_feed,Accuracy,12.2,High,Product Analytics,In Review
DQ0234,PRD071,Agency appointment mapping,channel,agency_feed,Accuracy,7.9,Medium,Claims Data,Monitoring
DQ0235,PRD071,Claims lag validation,loss_ratio,claims,Timeliness,11.9,Medium,Claims Data,Open
