month,product_id,earned_premium,loss_ratio,combined_ratio,retention_rate,claims_satisfaction,kpi_quality_score
2025-03-01,PRD012,1971185,76.2,98.2,84.7,87.1,80.9
2025-04-01,PRD012,1883479,73.9,95.9,88.0,86.9,81.3
2025-05-01,PRD012,1901946,73.9,95.9,84.8,86.2,82.1
2025-06-01,PRD012,1906345,72.8,94.8,86.9,88.9,80.5
2025-07-01,PRD012,2009761,70.5,92.5,85.5,85.5,78.7
2025-08-01,PRD012,2026422,70.0,92.0,85.9,88.7,83.8
2025-09-01,PRD012,1809587,66.7,88.7,86.3,87.7,76.6
2025-10-01,PRD012,2046240,74.2,96.2,87.6,87.8,80.8
2025-11-01,PRD012,1895007,66.1,88.1,86.8,86.5,80.3
2025-12-01,PRD012,1966640,68.3,90.3,86.9,84.5,79.6
2025-01-01,PRD013,2405110,80.9,104.9,84.9,87.3,81.7
2025-02-01,PRD013,2379093,83.6,107.6,84.4,84.9,82.2
2025-03-01,PRD013,2574021,81.7,105.7,83.2,85.4,80.8
2025-04-01,PRD013,2581890,78.7,102.7,84.0,89.5,83.8
2025-05-01,PRD013,2548683,83.6,107.6,87.2,87.2,87.4
2025-06-01,PRD013,2530225,83.5,107.5,86.7,87.9,84.6
2025-07-01,PRD013,2422563,79.0,103.0,83.7,88.7,85.1
2025-08-01,PRD013,2701352,81.2,105.2,85.5,87.2,83.2
2025-09-01,PRD013,2472341,81.2,105.2,84.4,88.4,82.3
2025-10-01,PRD013,2464028,74.8,98.8,84.8,90.0,84.0
2025-11-01,PRD013,2565806,81.1,105.1,84.6,87.0,84.0
2025-12-01,PRD013,2660818,80.0,104.0,84.0,91.2,81.2
2025-01-01,PRD014,2013357,69.8,93.8,84.3,89.1,83.6
2025-02-01,PRD014,2022775,74.6,98.6,86.2,89.4,86.3
2025-03-01,PRD014,2141955,69.5,93.5,84.3,88.9,82.1
2025-04-01,PRD014,2125278,73.2,97.2,82.5,90.2,84.1
2025-05-01,PRD014,2202338,73.5,97.5,82.5,90.9,82.1
2025-06-01,PRD014,2052590,78.5,102.5,83.6,91.6,83.9
2025-07-01,PRD014,2267840,74.7,98.7,84.1,88.6,85.1
2025-08-01,PRD014,2340621,72.3,96.3,84.6,90.9,82.0
2025-09-01,PRD014,2104260,73.1,97.1,83.4,89.9,84.1
2025-10-01,PRD014,2159960,73.0,97.0,81.9,91.6,79.9
2025-11-01,PRD014,2136644,68.9,92.9,84.0,88.0,85.2
2025-12-01,PRD014,2142170,70.8,94.8,83.7,89.1,82.3
2025-01-01,PRD015,1616172,88.8,112.8,84.7,70.3,79.6
2025-02-01,PRD015,1737916,93.0,117.0,87.3,71.7,83.9
2025-03-01,PRD015,1669151,85.2,109.2,86.1,73.4,83.4
2025-04-01,PRD015,1574420,89.1,113.1,86.5,71.7,83.4
2025-05-01,PRD015,1583121,90.2,114.2,85.3,69.2,82.6
2025-06-01,PRD015,1634359,95.1,119.1,82.8,70.4,82.6
2025-07-01,PRD015,1658005,91.3,115.3,85.3,69.9,82.8
2025-08-01,PRD015,1733343,89.6,113.6,85.9,70.6,85.6
2025-09-01,PRD015,1728168,89.5,113.5,86.0,70.3,79.8
2025-10-01,PRD015,1786382,86.3,110.3,83.3,71.6,83.3
2025-11-01,PRD015,1771530,86.2,110.2,86.7,71.1,77.1
2025-12-01,PRD015,1870744,86.0,110.0,82.2,73.2,78.2
2025-01-01,PRD016,543683,78.2,102.2,88.0,87.0,84.0
2025-02-01,PRD016,550253,81.9,105.9,85.7,87.4,77.8
2025-03-01,PRD016,534822,81.0,105.0,86.3,87.5,87.1
2025-04-01,PRD016,558046,78.7,102.7,86.9,86.4,81.4
2025-05-01,PRD016,532047,80.8,104.8,86.0,84.9,79.0
2025-06-01,PRD016,524101,84.6,108.6,87.8,83.9,83.9
2025-07-01,PRD016,559292,82.8,106.8,87.3,86.1,80.6
2025-08-01,PRD016,558637,79.6,103.6,88.0,87.2,79.4
2025-09-01,PRD016,575159,84.5,108.5,86.3,84.8,83.7
2025-10-01,PRD016,536369,81.8,105.8,87.1,88.6,82.8
2025-11-01,PRD016,573774,78.9,102.9,88.0,86.8,79.8
2025-12-01,PRD016,579007,78.1,102.1,88.0,88.2,76.3
2025-01-01,PRD017,1657018,93.3,117.3,81.7,75.7,78.9
2025-02-01,PRD017,1598030,85.5,109.5,84.1,78.2,80.3
2025-03-01,PRD017,1684751,93.7,117.7,85.6,75.6,85.4
2025-04-01,PRD017,1583883,88.6,112.6,84.0,76.1,84.0
2025-05-01,PRD017,1632935,87.2,111.2,82.9,77.7,81.4
2025-06-01,PRD017,1516821,93.6,117.6,83.7,75.8,82.6
2025-07-01,PRD017,1683382,91.1,115.1,83.6,75.9,79.9
2025-08-01,PRD017,1673653,93.5,117.5,84.1,76.8,85.9
2025-09-01,PRD017,1682858,92.8,116.8,83.8,74.4,79.5
2025-10-01,PRD017,1649955,89.8,113.8,83.0,75.1,83.6
2025-11-01,PRD017,1741263,92.8,116.8,83.7,74.4,82.5
2025-12-01,PRD017,1763573,92.4,116.4,83.3,74.0,85.4
2025-01-01,PRD018,1379261,83.9,107.9,83.8,81.6,75.8
2025-02-01,PRD018,1331106,85.1,109.1,82.3,80.8,74.8
2025-03-01,PRD018,1401765,88.4,112.4,81.5,81.1,73.2
2025-04-01,PRD018,1327811,86.0,110.0,83.2,79.5,75.8
2025-05-01,PRD018,1303479,82.2,106.2,80.9,80.8,76.4
2025-06-01,PRD018,1424553,88.1,112.1,81.9,78.1,80.7
2025-07-01,PRD018,1446401,87.5,111.5,81.2,82.6,79.7
2025-08-01,PRD018,1289936,82.7,106.7,83.7,79.4,74.3
2025-09-01,PRD018,1364930,80.1,104.1,82.6,79.5,80.4
2025-10-01,PRD018,1351775,82.7,106.7,82.8,79.6,70.4
2025-11-01,PRD018,1408120,84.3,108.3,81.5,78.8,75.5
2025-12-01,PRD018,1393638,86.9,110.9,83.8,80.1,75.8
2025-01-01,PRD019,1829056,88.5,112.5,86.7,77.3,84.5
2025-02-01,PRD019,1782178,83.7,107.7,89.7,80.1,84.9
2025-03-01,PRD019,1724311,83.8,107.8,87.9,79.9,80.1
2025-04-01,PRD019,1889163,88.6,112.6,87.2,78.8,80.0
2025-05-01,PRD019,1712861,84.2,108.2,88.0,81.3,84.2
2025-06-01,PRD019,1752612,95.5,119.5,87.8,75.4,83.6
2025-07-01,PRD019,1979994,88.0,112.0,88.8,79.4,81.3
2025-08-01,PRD019,1759377,90.6,114.6,83.9,79.0,82.8
2025-09-01,PRD019,1896547,86.2,110.2,87.7,79.6,81.6
2025-10-01,PRD019,1982451,89.4,113.4,86.1,78.0,84.4
2025-11-01,PRD019,1839076,87.4,111.4,86.6,77.8,86.6
2025-12-01,PRD019,1834355,86.8,110.8,85.3,79.0,84.6
2025-01-01,PRD020,468463,89.7,113.7,84.3,76.1,75.1
2025-02-01,PRD020,478588,90.1,114.1,83.9,75.1,70.5
2025-03-01,PRD020,510032,86.9,110.9,85.5,76.1,75.9
2025-04-01,PRD020,467770,91.9,115.9,84.4,76.9,75.1
2025-05-01,PRD020,514827,90.7,114.7,85.5,76.8,76.4
2025-06-01,PRD020,465188,91.6,115.6,83.8,75.4,72.8
2025-07-01,PRD020,486976,90.7,114.7,84.1,73.8,75.2
2025-08-01,PRD020,470387,89.8,113.8,84.5,75.2,77.3
2025-09-01,PRD020,473158,92.6,116.6,84.5,76.0,76.8
2025-10-01,PRD020,509364,82.5,106.5,85.2,79.3,75.3
2025-11-01,PRD020,477599,86.1,110.1,84.4,77.2,74.5
2025-12-01,PRD020,479142,87.3,111.3,84.3,75.7,77.3
2025-01-01,PRD021,989709,79.6,103.6,85.5,85.2,75.4
2025-02-01,PRD021,1019090,79.9,103.9,86.4,84.4,76.3
2025-03-01,PRD021,960213,83.5,107.5,83.2,85.1,74.1
2025-04-01,PRD021,1077123,76.5,100.5,85.2,86.3,73.4
2025-05-01,PRD021,1029189,82.0,106.0,85.8,82.5,75.2
2025-06-01,PRD021,1095749,88.1,112.1,84.5,85.0,78.0
2025-07-01,PRD021,1038883,84.5,108.5,84.9,86.6,78.2
2025-08-01,PRD021,1098221,82.3,106.3,85.1,83.0,77.5
2025-09-01,PRD021,1148015,82.6,106.6,84.5,82.2,80.4
2025-10-01,PRD021,1138894,74.9,98.9,84.8,85.6,78.0
2025-11-01,PRD021,1208837,75.2,99.2,85.9,82.5,81.2
2025-12-01,PRD021,1124588,76.2,100.2,86.2,87.6,75.5
2025-01-01,PRD022,757450,81.0,105.0,90.8,79.1,79.0
2025-02-01,PRD022,786246,85.7,109.7,89.9,79.2,75.4
2025-03-01,PRD022,733793,79.0,103.0,91.1,77.3,75.1
2025-04-01,PRD022,740156,81.7,105.7,90.5,81.2,82.5
2025-05-01,PRD022,742883,78.5,102.5,92.5,83.6,77.4
2025-06-01,PRD022,785271,88.6,112.6,90.6,76.9,79.2
2025-07-01,PRD022,798960,86.3,110.3,90.9,79.2,77.2
2025-08-01,PRD022,740542,85.4,109.4,91.8,77.3,80.6
2025-09-01,PRD022,833071,83.9,107.9,90.6,77.6,77.5
2025-10-01,PRD022,789073,81.5,105.5,91.3,80.6,79.2
2025-11-01,PRD022,821018,79.8,103.8,91.6,79.1,79.8
2025-12-01,PRD022,820247,82.6,106.6,91.2,78.8,77.3
2025-01-01,PRD023,291707,79.9,103.9,83.2,81.9,75.1
2025-02-01,PRD023,310314,84.0,108.0,80.3,81.2,76.3
2025-03-01,PRD023,274523,84.5,108.5,84.0,80.8,70.0
2025-04-01,PRD023,287564,87.6,111.6,83.5,79.8,76.7
2025-05-01,PRD023,285326,84.5,108.5,83.7,81.0,76.7
2025-06-01,PRD023,302671,88.0,112.0,82.8,78.2,74.8
2025-07-01,PRD023,310245,85.2,109.2,83.7,78.4,81.0
2025-08-01,PRD023,299257,86.1,110.1,84.2,82.8,72.0
2025-09-01,PRD023,296123,83.6,107.6,83.0,82.0,78.6
2025-10-01,PRD023,279239,85.9,109.9,81.9,81.4,77.4
2025-11-01,PRD023,277913,80.3,104.3,84.6,81.8,73.7
2025-12-01,PRD023,290410,83.6,107.6,82.3,83.0,76.1
2025-01-01,PRD024,846802,85.6,109.6,84.6,82.2,71.0
2025-02-01,PRD024,779698,90.2,114.2,87.1,82.8,68.6
2025-03-01,PRD024,839439,88.6,112.6,85.9,81.3,73.4
2025-04-01,PRD024,895247,87.7,111.7,87.6,82.6,75.1
2025-05-01,PRD024,820306,87.2,111.2,86.6,80.2,72.4
2025-06-01,PRD024,859084,93.9,117.9,88.9,80.0,72.5
2025-07-01,PRD024,931498,88.3,112.3,87.1,80.8,77.0
2025-08-01,PRD024,904154,85.7,109.7,86.0,83.0,73.0
2025-09-01,PRD024,939096,85.3,109.3,87.2,82.3,72.9
2025-10-01,PRD024,957748,83.4,107.4,85.6,83.2,75.2
2025-11-01,PRD024,956830,84.2,108.2,87.7,84.3,76.9
2025-12-01,PRD024,920261,87.5,111.5,87.8,83.8,75.2
2025-01-01,PRD025,816288,59.5,87.5,97.3,91.9,90.2
2025-02-01,PRD025,844782,58.4,86.4,97.6,92.4,86.3
2025-03-01,PRD025,781142,58.0,86.0,95.5,90.4,87.9
2025-04-01,PRD025,823182,64.9,92.9,93.6,93.2,88.4
2025-05-01,PRD025,790095,58.3,86.3,97.6,93.4,90.6
2025-06-01,PRD025,793616,59.6,87.6,97.7,92.0,84.9
2025-07-01,PRD025,838803,56.7,84.7,95.8,93.2,88.8
2025-08-01,PRD025,787159,57.7,85.7,97.0,92.9,90.1
2025-09-01,PRD025,809866,58.7,86.7,95.2,91.0,84.9
2025-10-01,PRD025,774379,57.9,85.9,96.6,93.6,84.8
2025-11-01,PRD025,863855,56.6,84.6,98,92.4,90.7
2025-12-01,PRD025,792259,58.7,86.7,94.5,94.2,91.0
2025-01-01,PRD026,253624,57.3,85.3,90.5,89.6,87.6
2025-02-01,PRD026,248187,62.3,90.3,91.3,91.1,88.3
2025-03-01,PRD026,259139,67.5,95.5,92.3,92.6,85.3
2025-04-01,PRD026,257859,63.0,91.0,93.3,91.4,87.3
2025-05-01,PRD026,242020,58.7,86.7,92.6,90.7,90.2
2025-06-01,PRD026,251987,60.6,88.6,91.7,91.4,91.9
2025-07-01,PRD026,248988,59.5,87.5,92.4,91.6,91.1
2025-08-01,PRD026,251586,63.0,91.0,90.9,90.7,91.4
2025-09-01,PRD026,265546,56.8,84.8,91.4,89.8,89.0
2025-10-01,PRD026,269803,66.5,94.5,91.4,93.1,91.0
2025-11-01,PRD026,278629,62.6,90.6,91.2,90.5,89.1
2025-12-01,PRD026,266607,61.0,89.0,91.2,89.8,86.7
2025-01-01,PRD027,233512,57.3,85.3,95.7,89.0,78.8
2025-02-01,PRD027,256329,55.4,83.4,95.4,87.5,78.7
2025-03-01,PRD027,254501,57.7,85.7,93.6,89.2,78.5
2025-04-01,PRD027,250782,52.6,80.6,93.0,87.9,78.6
2025-05-01,PRD027,257810,57.9,85.9,92.6,86.6,80.7
2025-06-01,PRD027,267833,56.7,84.7,94.4,90.5,82.3
2025-07-01,PRD027,256016,54.8,82.8,94.0,90.6,78.4
2025-08-01,PRD027,261639,51.7,79.7,91.9,88.2,81.5
2025-09-01,PRD027,269535,53.7,81.7,94.2,91.4,79.1
2025-10-01,PRD027,253319,51.8,79.8,93.2,90.0,77.1
2025-11-01,PRD027,260183,56.3,84.3,94.2,89.3,80.8
2025-12-01,PRD027,248249,53.2,81.2,94.3,88.8,81.8
2025-01-01,PRD028,555306,59.8,87.8,86.6,87.9,86.7
2025-02-01,PRD028,557191,62.8,90.8,89.0,85.4,89.1
2025-03-01,PRD028,552218,54.4,82.4,84.5,87.5,88.0
2025-04-01,PRD028,559880,59.2,87.2,86.4,86.7,89.3
2025-05-01,PRD028,564893,57.1,85.1,86.2,90.6,88.4
2025-06-01,PRD028,579725,55.2,83.2,86.4,89.5,85.5
2025-07-01,PRD028,579893,58.7,86.7,86.9,89.6,85.7
2025-08-01,PRD028,581732,58.0,86.0,85.4,87.4,84.8
2025-09-01,PRD028,532984,55.5,83.5,85.4,89.0,87.9
2025-10-01,PRD028,534521,55.4,83.4,84.1,88.8,87.0
2025-11-01,PRD028,563024,56.1,84.1,86.1,90.6,88.2
2025-12-01,PRD028,588662,56.3,84.3,85.3,85.7,82.2
2025-01-01,PRD029,711943,53.7,81.7,95.5,95.4,84.0
2025-02-01,PRD029,688051,56.7,84.7,98,92.5,81.4
2025-03-01,PRD029,733652,55.6,83.6,96.2,95.2,86.3
2025-04-01,PRD029,671586,56.1,84.1,94.5,94.9,89.2
2025-05-01,PRD029,727016,54.3,82.3,95.8,93.4,88.3
2025-06-01,PRD029,691574,58.1,86.1,97.3,95.3,85.8
2025-07-01,PRD029,761089,50.3,78.3,95.0,95.9,81.6
2025-08-01,PRD029,683106,50.5,78.5,96.7,95.2,86.2
2025-09-01,PRD029,758303,49.7,77.7,97.8,95.5,85.0
2025-10-01,PRD029,728715,51.7,79.7,95.0,94.6,83.4
2025-11-01,PRD029,695585,52.3,80.3,94.7,96.6,86.3
2025-12-01,PRD029,711044,51.3,79.3,97.4,95.8,85.0
2025-01-01,PRD030,429374,66.7,94.7,87.6,95.6,84.5
2025-02-01,PRD030,389756,63.6,91.6,89.0,94.5,77.1
2025-03-01,PRD030,430796,65.8,93.8,87.8,96.4,80.9
2025-04-01,PRD030,437988,61.2,89.2,89.2,91.8,84.9
2025-05-01,PRD030,428577,64.4,92.4,88.0,95.0,78.1
2025-06-01,PRD030,395233,61.9,89.9,89.1,94.6,78.8
2025-07-01,PRD030,393124,65.8,93.8,85.3,96.9,77.8
2025-08-01,PRD030,435185,61.7,89.7,86.2,94.6,82.4
2025-09-01,PRD030,418668,63.9,91.9,88.6,97.3,81.7
2025-10-01,PRD030,438016,58.3,86.3,88.5,92.5,82.0
2025-11-01,PRD030,422218,62.1,90.1,88.4,95.5,81.5
2025-12-01,PRD030,438690,63.6,91.6,86.0,93.8,80.2
2025-01-01,PRD031,224275,60.7,88.7,90.2,91.7,83.6
2025-02-01,PRD031,223643,62.8,90.8,89.5,89.8,82.5
2025-03-01,PRD031,225075,62.7,90.7,91.1,89.4,86.9
2025-04-01,PRD031,235625,70.2,98.2,91.8,89.6,80.5
2025-05-01,PRD031,220909,60.9,88.9,91.6,90.9,82.1
2025-06-01,PRD031,220371,52.9,80.9,90.5,90.6,84.2
2025-07-01,PRD031,243766,61.1,89.1,90.2,91.0,83.5
2025-08-01,PRD031,228539,60.4,88.4,90.8,89.1,82.5
2025-09-01,PRD031,215869,58.6,86.6,92.5,88.7,84.3
2025-10-01,PRD031,240264,59.3,87.3,90.2,89.4,84.3
2025-11-01,PRD031,229238,58.2,86.2,90.2,87.8,85.4
2025-12-01,PRD031,223877,61.0,89.0,90.0,91.2,86.3
2025-01-01,PRD032,346405,55.3,83.3,95.9,93.1,78.9
2025-02-01,PRD032,347089,59.5,87.5,94.2,92.3,81.5
2025-03-01,PRD032,336145,54.0,82.0,96.3,92.3,75.1
2025-04-01,PRD032,381716,56.9,84.9,97.4,88.8,75.6
2025-05-01,PRD032,360931,52.2,80.2,93.7,92.2,78.0
2025-06-01,PRD032,357411,53.7,81.7,95.3,91.0,80.5
2025-07-01,PRD032,376365,54.0,82.0,93.3,91.8,77.1
2025-08-01,PRD032,366347,55.5,83.5,95.0,91.8,72.7
2025-09-01,PRD032,357772,52.8,80.8,94.6,91.7,75.4
2025-10-01,PRD032,380921,52.6,80.6,93.3,90.4,78.5
2025-11-01,PRD032,354465,53.9,81.9,96.0,93.8,72.5
2025-12-01,PRD032,403983,55.2,83.2,93.4,91.0,73.6
2025-01-01,PRD033,371621,52.4,80.4,94.4,97.2,71.6
2025-02-01,PRD033,405265,59.1,87.1,96.9,99,77.1
2025-03-01,PRD033,371777,60.8,88.8,95.4,99,79.2
2025-04-01,PRD033,396194,55.8,83.8,94.7,95.0,74.8
2025-05-01,PRD033,386129,54.3,82.3,97.0,94.0,72.2
2025-06-01,PRD033,420344,58.5,86.5,95.9,97.1,76.5
2025-07-01,PRD033,413112,56.5,84.5,96.8,96.0,74.1
